JobTitle,Company,Location,Pay,Posted,Description.
newFull-time Machine Operator Production - Weekend Nights Virtu...,PepsiCo,"Denver, CO 80216 (Elyria Swansea area)+17 locations",,1 day ago,"Position operates one or multiple pieces of manufacturing equipment.
This may include moving raw material handling to the production line, and/or filling,…"
"EASY Kitchen Job, Music Venue & Video Game Bar in Denver",Monkey Barrel,"Denver, CO 80211 (Sunnyside area)",,Active 4 days ago,"You know the Menu, you know follow recipes and steps consistently.
You are a hard worker and have a passion for cooking.
Job Types: Full-time, Part-time."
newEntry Level Surveillance Investigator,DigiStream Investigations,"Broomfield, CO+10 locations",,1 day ago,"Detailed report writing on the activities observed/captured and submission of video evidence.
Equipment provided including video camera, laptop, tripod, fuel &…"
Route driver/account representative,Entertainment Experts,"Denver, CO",,Active 4 days ago,"Servicing, merchandising, and accounting / auditing for our Video games, Crane machines, Pool tables etc.
Basic understanding of computers for data entry during…"
newCashier and Customer Service,Jumping Jack Cash,"Aurora, CO 80010 (Delmar Parkway area)",,Active 5 days ago,Paid PTO after just 3 months.
Arcade Attendant,"Round One Entertainment, Inc.","Littleton, CO 80123",,Active 2 days ago,"Maintain inventory levels in amusement games.
Maintain games and counters clean and visibly attractive to customers’ eyes.
1 hour of karaoke/billiards per week."
newLandscaping Technician & Lawn Care (Drivers License Required...,Erbert Lawns Inc.,"Englewood, CO+7 locations",,3 days ago,"We supply the trucks, tools, and customers.
This is a full time job Monday-Friday with occasional Saturday when it rains."
Bowling Center Associate,"Round One Entertainment, Inc.","Littleton, CO 80123",,Active 2 days ago,"1 hour of time play (non-prize) arcade games per week.
Conducts alcohol and age restriction control in accordance with company policies."
Surveillance Operator - $1500 New Hire Incentive,"Caesars Entertainment - Black Hawk, Colorado","Denver, CO",,Active 5 days ago,"After training must be knowledgeable and proficient in all games.
Responsible for observing casino and property operations using video technology to protect the…"
Food & Beverage Associate,"Round One Entertainment, Inc.","Littleton, CO 80123",,Active 10 days ago,"1 hour of time play (non-prize) arcade games per week.
Conducts alcohol and age restriction control in accordance with company policies."
newIllustrator-YouTube Studio,Newscape Studios,"Englewood, CO 80112",,1 day ago,"Illustrate characters, text, backgrounds, merchandise and card games.
We are looking for candidates with illustration / animation skills with substantial…"
Advertising Operations Coordinator-Virtual,Comcast,"Englewood, CO 80112",,17 days ago,"Supports display and video ad campaigns for advertising clients, including trafficking order entry, order fulfillment monitoring, audience engagement metrics,…"
"Technician 2, Video Operations",Comcast,"Centennial, CO 80122",,30+ days ago,"Detects and fixes missing metadata to ensure proper placement and display of video across platforms.
Reviews and processes digital video assets, as well as,…"
Escape Room Game Master,303 Escape,"Thornton, CO 80260",,Active 3 days ago,"Resetting and disinfecting rooms between games.
You will be provided gloves when resetting and disinfecting games.
Must be at least 18."
newTutor/ Code Sensei,"Ascendant Minds, Inc","Lone Tree, CO 80124",,Active 2 days ago,"Parents are thrilled as their children gain confidence and new skills including coding, math, logic, and problem-solving, as they progress from white to black…"
newSports Video Camera Operator - Colorado,ProDynamix Sports,"Aurora, CO 80010 (Delmar Parkway area)",,Active 5 days ago,"Own a professional digital video camera.
MUST have the ability to upload games online for file transfer.
MUST know and follow sports."
Goalkeeping Director at Colorado Rapids Youth Soccer,Colorado Soccer Association (CSA),"Aurora, CO",,9 days ago,"Utilize CRYSC Veo and Hudl programs to provide video analysis and feedback.
We strive for players to develop a lifelong love of the game and use the skills…"
Center Director,Code Ninjas,"Denver, CO 80230 (Lowry Field area)",,Active 12 days ago,"Part Time up to 30 hours/week.
Parents are thrilled as their children gain confidence and new skills including coding, math, logic, and problem-solving, as they…"
newTutor Code Sensei,Code Ninjas Lone Tree,"Lone Tree, CO 80124",,5 days ago,"Code Ninjas Lone Tree is currently in the midst of looking for Senseis to train prior to our opening.
Parents are thrilled as their children gain confidence and…"
Jr MoCap Technician,Deck Nine Games,"Westminster, CO 80021",,30+ days ago,"Edit together dailies videos of reference video footage in DaVinci Resolve.
You have a deep desire to push cinematic storytelling in video games."
Audio Lead,Deck Nine Games,"Westminster, CO 80021•Temporarily Remote",,30+ days ago,"Our narrative-driven projects require a wide array of knowledge and high collaboration with other gifted creatives, to deliver an engaging video game experience…"
newEVP-Impression Sports,Playfly Sports,"Denver, CO 80237 (Southeastern Denver area)",,1 day ago,"Strong phone, video and email communication skills.
Playfly Sports drives outcome-based solutions into 90-million households via more than 7,800 live U.S.…"
newComcast Business Customer Care Representative (Nov 8th Start...,Comcast,"Centennial, CO 80112",,3 days ago,"Performs complex diagnostic troubleshooting to resolve voice, video & data service issues.
Fulfills client requests to make changes to their Business Class…"
"newCustomer Care Manager IV - Tempe, AZ; Monroe, LA; Littleton,...",Lumen,"Broomfield, CO 80021•Remote",,7 days ago,"The Customer Care Manager IV is the single point of contact for assigned customer accounts which typically have a large revenue scope, complex product needs,…"
Sr Editor,Comcast,"Englewood, CO",,30+ days ago,"Edits video and sound using an editing system.
Responsible for maintaining an effective video editing process that ensures accurate and timely completion of…"
